user_id,talk_id,view_time
1,10474,7/27/2016 12:27
1,10488,8/5/2016 12:34
1,10506,8/7/2016 15:55
1,10446,8/7/2016 15:58
1,10506,8/7/2016 16:06
1,10446,8/8/2016 18:18
1,10446,8/9/2016 10:38
1,10446,8/9/2016 10:39
1,10446,8/9/2016 16:33
1,10507,8/10/2016 11:21
1,10447,8/14/2016 23:05
1,10447,8/14/2016 23:08
1,10518,8/15/2016 14:37
1,10509,8/15/2016 14:42
1,10491,8/15/2016 19:44
1,10491,8/15/2016 19:45
1,10491,8/18/2016 16:23
1,10491,8/18/2016 17:27
1,10491,8/18/2016 17:27
1,10491,8/18/2016 17:32
1,10491,8/18/2016 17:33
1,10491,8/18/2016 17:33
1,10491,8/19/2016 11:41
1,10522,8/20/2016 18:20
1,10523,8/20/2016 18:20
1,10466,8/20/2016 18:21
1,10522,8/24/2016 15:08
1,10522,8/30/2016 11:25
1,10547,8/30/2016 14:04
1,10558,9/2/2016 11:29
1,10547,9/5/2016 16:07
1,10581,9/7/2016 2:00
1,10590,9/7/2016 11:54
1,10590,9/7/2016 11:55
1,10599,9/8/2016 12:44
1,10626,9/12/2016 14:04
1,10554,9/12/2016 14:13
1,10554,9/12/2016 14:13
1,10507,9/12/2016 17:04
1,10581,9/13/2016 11:31
1,10603,9/15/2016 0:32
1,10636,9/15/2016 0:47
1,10458,9/16/2016 12:03
1,10635,9/17/2016 17:34
1,10657,9/18/2016 9:08
1,10657,9/18/2016 17:18
1,10657,9/18/2016 17:18
1,10492,9/20/2016 14:13
1,10492,9/20/2016 17:33
1,10635,9/20/2016 19:26
1,10665,9/20/2016 21:01
1,10645,9/21/2016 16:05
1,10613,9/21/2016 23:01
1,10645,9/22/2016 1:15
1,10665,9/22/2016 1:16
1,10636,9/22/2016 11:07
1,10665,9/22/2016 11:07
1,10613,9/22/2016 11:24
1,10676,9/22/2016 12:02
1,10665,9/22/2016 17:39
1,10626,9/22/2016 17:40
1,10665,9/22/2016 17:43
1,10651,9/22/2016 18:12
1,10636,9/22/2016 18:12
1,10665,9/22/2016 18:39
1,10636,9/22/2016 18:43
1,10620,9/22/2016 19:02
1,10681,9/23/2016 0:57
1,10681,9/23/2016 1:00
1,10607,9/23/2016 11:21
1,10641,9/23/2016 13:51
1,10651,9/23/2016 13:52
1,10626,9/23/2016 16:12
1,10627,9/24/2016 19:43
1,10572,9/24/2016 19:56
1,10627,9/24/2016 19:58
1,10695,9/25/2016 11:37
1,10695,9/25/2016 12:32
1,10680,9/25/2016 16:28
1,10680,9/25/2016 16:31
1,10504,9/25/2016 22:37
1,10700,9/26/2016 11:12
1,10700,9/26/2016 11:20
1,10700,9/26/2016 11:23
1,10700,9/26/2016 11:40
1,10701,9/26/2016 15:26
1,10701,9/26/2016 15:28
1,10701,9/26/2016 15:30
1,10701,9/26/2016 15:30
1,10701,9/26/2016 16:25
1,10572,9/27/2016 16:27
1,10572,9/27/2016 16:28
1,10572,9/27/2016 16:32
1,10708,9/27/2016 16:44
1,10708,9/27/2016 16:47
1,10709,9/27/2016 17:04
1,10709,9/27/2016 17:07
1,10709,9/27/2016 17:09
1,10661,9/28/2016 11:53
1,10708,9/28/2016 11:57
1,10723,9/28/2016 12:30
1,10723,9/28/2016 12:41
1,10616,9/29/2016 16:08
1,10620,9/29/2016 16:09
1,10591,9/29/2016 16:10
1,10616,9/29/2016 17:21
1,10718,9/29/2016 18:36
1,10583,9/29/2016 18:40
1,10620,9/29/2016 18:49
1,10724,9/30/2016 9:41
1,10620,9/30/2016 12:07
1,10687,10/12/2016 11:01
1,10895,10/17/2016 12:13
1,10895,10/17/2016 12:21
1,10895,10/17/2016 12:22
1,10896,10/17/2016 12:24
1,10897,10/17/2016 12:35
1,10795,10/17/2016 12:36
1,10895,10/17/2016 12:47
1,10895,10/17/2016 12:47
1,10896,10/17/2016 13:13
1,10897,10/17/2016 13:16
1,10795,10/17/2016 13:17
1,10795,10/17/2016 13:17
1,10619,11/4/2016 11:02
1,10570,11/4/2016 11:02
2,10475,7/28/2016 12:17
2,10476,7/28/2016 12:19
2,10477,7/28/2016 17:06
2,10458,7/30/2016 22:49
2,10480,8/1/2016 12:18
2,10484,8/1/2016 12:24
2,10488,8/4/2016 9:31
2,10488,8/4/2016 10:04
2,10488,8/5/2016 12:22
2,10488,8/5/2016 12:24
2,10477,8/10/2016 10:04
2,10508,8/10/2016 21:40
2,10516,8/14/2016 11:10
2,10516,8/14/2016 16:58
2,10517,8/14/2016 17:02
2,10491,8/14/2016 17:10
2,10491,8/14/2016 17:11
2,10459,8/20/2016 0:18
2,10459,8/20/2016 0:22
2,10521,8/20/2016 0:24
2,10521,8/20/2016 0:25
2,10521,8/20/2016 0:25
2,10521,8/20/2016 0:26
2,10522,8/20/2016 9:54
2,10523,8/20/2016 9:56
2,10523,8/20/2016 9:56
2,10522,8/20/2016 9:57
2,10524,8/20/2016 11:03
2,10524,8/20/2016 11:03
2,10474,8/20/2016 11:42
2,10465,8/20/2016 11:42
2,10465,8/20/2016 11:43
2,10520,8/20/2016 11:44
2,10520,8/20/2016 11:44
2,10466,8/20/2016 11:45
2,10522,8/24/2016 13:53
2,10522,8/24/2016 13:53
2,10505,8/24/2016 13:57
2,10525,8/25/2016 13:21
2,10513,8/28/2016 16:22
2,10534,8/29/2016 11:10
2,10528,8/29/2016 11:45
2,10528,8/29/2016 11:48
2,10528,8/29/2016 11:48
2,10528,8/29/2016 11:48
2,10546,8/30/2016 15:41
2,10528,8/31/2016 13:18
2,10465,9/1/2016 10:20
2,10507,9/1/2016 10:25
2,10466,9/1/2016 11:25
2,10466,9/1/2016 11:26
2,10552,9/1/2016 23:09
2,10552,9/1/2016 23:12
2,10527,9/1/2016 23:16
2,10546,9/2/2016 10:44
2,10527,9/2/2016 10:57
2,10527,9/2/2016 11:01
2,10562,9/2/2016 11:28
2,10562,9/2/2016 11:32
2,10558,9/2/2016 11:33
2,10558,9/2/2016 11:34
2,10558,9/2/2016 11:35
2,10565,9/2/2016 11:35
2,10565,9/2/2016 11:36
2,10564,9/2/2016 11:40
2,10564,9/2/2016 11:42
2,10570,9/4/2016 17:04
2,10558,9/4/2016 21:13
2,10567,9/4/2016 21:13
2,10541,9/5/2016 14:42
2,10585,9/6/2016 22:50
2,10585,9/6/2016 22:50
2,10581,9/6/2016 22:51
2,10581,9/6/2016 22:52
2,10581,9/6/2016 22:53
2,10527,9/6/2016 22:58
2,10527,9/6/2016 22:58
2,10569,9/7/2016 9:26
2,10558,9/7/2016 13:43
2,10505,9/7/2016 13:50
2,10574,9/7/2016 13:50
2,10597,9/7/2016 21:07
2,10602,9/8/2016 17:55
2,10601,9/8/2016 17:56
2,10567,9/8/2016 17:56
2,10567,9/8/2016 17:58
2,10603,9/8/2016 17:59
2,10603,9/8/2016 18:02
2,10589,9/8/2016 20:44
2,10589,9/8/2016 20:45
2,10600,9/8/2016 20:46
2,10600,9/8/2016 20:46
2,10554,9/8/2016 20:47
2,10601,9/8/2016 20:47
2,10580,9/8/2016 20:48
2,10572,9/8/2016 20:49
2,10607,9/8/2016 22:20
2,10564,9/8/2016 23:15
2,10604,9/9/2016 18:43
2,10613,9/9/2016 18:47
2,10620,9/12/2016 12:39
2,10620,9/12/2016 12:40
2,10619,9/12/2016 12:41
2,10578,9/12/2016 12:47
2,10625,9/12/2016 16:43
2,10621,9/12/2016 17:16
2,10621,9/12/2016 17:17
2,10621,9/12/2016 17:17
2,10625,9/12/2016 17:28
2,10583,9/12/2016 17:29
2,10583,9/12/2016 17:30
2,10617,9/13/2016 11:00
2,10615,9/13/2016 11:00
2,10641,9/15/2016 9:56
2,10554,9/15/2016 9:58
2,10637,9/15/2016 15:50
2,10636,9/15/2016 15:59
2,10646,9/16/2016 11:16
2,10612,9/16/2016 15:28
2,10649,9/16/2016 17:05
2,10649,9/16/2016 17:07
2,10651,9/17/2016 11:21
2,10636,9/17/2016 11:21
2,10634,9/17/2016 11:28
2,10634,9/19/2016 11:51
2,10665,9/20/2016 11:18
2,10648,9/20/2016 11:20
2,10666,9/20/2016 12:08
2,10666,9/20/2016 12:08
2,10605,9/20/2016 12:23
2,10572,9/20/2016 12:25
2,10639,9/20/2016 12:25
2,10639,9/20/2016 12:30
2,10665,9/20/2016 15:56
2,10572,9/20/2016 20:54
2,10572,9/20/2016 20:55
2,10665,9/21/2016 18:16
2,10662,9/21/2016 18:19
2,10619,9/21/2016 18:21
2,10550,9/21/2016 18:30
2,10663,9/21/2016 18:31
2,10646,9/21/2016 18:31
2,10607,9/21/2016 18:31
2,10607,9/21/2016 18:32
2,10607,9/21/2016 18:33
2,10555,9/21/2016 22:23
2,10555,9/21/2016 22:23
2,10555,9/21/2016 22:24
2,10676,9/21/2016 22:32
2,10647,9/21/2016 22:35
2,10607,9/23/2016 11:29
2,10641,9/23/2016 11:29
2,10641,9/23/2016 11:30
2,10651,9/23/2016 13:34
2,10651,9/23/2016 13:39
2,10651,9/23/2016 13:51
